Fecha,TMAX,TMIN,Prec
2026-01-01,28.4,13.0,0.0
2026-01-02,25.5,11.2,0.0
2026-01-03,22.2,9.9,0.0
2026-01-04,24.8,8.2,0.0
2026-01-05,28.4,11.6,0.0
2026-01-06,29.7,15.8,4.6
2026-01-07,24.0,15.2,9.7
2026-01-08,23.0,9.8,0.0
2026-01-09,24.3,12.6,0.0
2026-01-10,28.5,14.9,0.0
2026-01-11,35.4,17.5,0.0
2026-01-12,35.3,21.2,0.0
2026-01-13,27.2,17.9,2.1
2026-01-14,31.7,16.7,0.1
2026-01-15,30.5,18.4,23.7
2026-01-16,29.3,12.3,0.0
2026-01-17,33.0,16.9,1.9
2026-01-18,23.2,11.7,0.0
2026-01-19,22.6,7.9,0.0
2026-01-20,27.2,10.8,0.0
2026-01-21,29.9,15.0,0.0
2026-01-22,30.5,17.5,0.0
2026-01-23,31.7,17.3,0.0
2026-01-24,29.1,19.8,0.0
2026-01-25,33.7,20.8,0.6
2026-01-26,30.5,19.5,0.0
2026-01-27,30.0,15.9,0.0
2026-01-28,30.4,15.5,0.0
2026-01-29,30.1,15.8,0.0
2026-01-30,28.6,18.0,6.9
2026-01-31,28.8,16.1,0.0
2026-02-01,30.8,16.9,2.6
2026-02-02,32.9,20.1,1.7
2026-02-03,31.2,20.6,0.5
2026-02-04,26.0,15.4,0.1
2026-02-05,27.4,16.5,4.8
2026-02-06,26.6,10.9,0.0
2026-02-07,27.6,12.8,0.0
2026-02-08,29.0,13.9,0.0
2026-02-09,28.1,18.0,0.3
2026-02-10,30.5,15.2,0.0
2026-02-11,23.4,16.1,3.9
2026-02-12,26.8,14.8,0.0
2026-02-13,22.6,10.5,0.0
2026-02-14,26.6,12.8,0.2
2026-02-15,27.0,16.2,9.8
2026-02-16,29.1,15.1,0.0
2026-02-17,28.6,15.8,0.0
2026-02-18,30.5,15.6,0.2
2026-02-19,27.0,17.2,0.6
2026-02-20,28.5,10.6,0.0
2026-02-21,29.1,13.4,0.0
2026-02-22,28.5,15.6,0.0
2026-02-23,27.6,18.2,1.6
2026-02-24,25.8,15.2,0.3
2026-02-25,21.4,11.4,0.1
2026-02-26,24.0,8.1,0.0
2026-02-27,27.1,10.9,0.0
2026-02-28,26.9,15.4,0.0
2026-03-01,30.2,15.8,0.0
2026-03-02,28.9,17.2,1.2
2026-03-03,25.2,16.9,16.5
2026-03-04,27.9,13.6,0.0
2026-03-05,20.5,14.1,0.7
2026-03-06,21.9,13.3,0.5
2026-03-07,23.8,12.9,0.0
2026-03-08,24.2,10.1,0.0
2026-03-09,24.0,13.2,1.2
2026-03-10,25.0,13.2,0.0
2026-03-11,25.1,12.0,0.0
2026-03-12,24.8,14.3,0.0
2026-03-13,26.2,13.9,0.4
2026-03-14,21.0,17.0,11.9
2026-03-15,27.9,15.5,0.0
2026-03-16,23.9,14.6,9.6
2026-03-17,22.8,13.0,45.5
2026-03-18,23.6,9.1,0.0
2026-03-19,26.2,11.6,0.0
2026-03-20,22.6,14.3,22.4
2026-03-21,18.8,12.2,18.5
2026-03-22,22.6,9.2,0.0
2026-03-23,19.1,11.8,0.2
2026-03-24,24.2,9.1,0.0
2026-03-25,22.5,11.1,0.0
2026-03-26,24.9,9.9,0.0
2026-03-27,25.5,12.9,0.0
2026-03-28,26.2,16.3,6.7
2026-03-29,25.7,20.9,23.7
2026-03-30,26.0,19.4,0.0
2026-03-31,27.5,19.7,11.7
2026-04-01,23.8,20.9,25.5
2026-04-02,27.2,19.4,0.0
2026-04-03,26.8,14.7,1.2
2026-04-04,16.8,8.2,0.0
2026-04-05,17.2,4.0,0.0
2026-04-06,17.7,10.2,2.8
2026-04-07,19.6,14.5,5.5
2026-04-08,19.8,10.8,0.0
2026-04-09,20.0,7.7,0.0
2026-04-10,21.6,7.7,0.0
2026-04-11,21.0,9.8,0.0
2026-04-12,22.8,12.1,0.0
2026-04-13,22.1,10.1,0.0
2026-04-14,24.7,12.4,0.0
2026-04-15,23.3,16.4,0.0
2026-04-16,21.0,16.8,0.0
